피자이탈리	5	90.0	3.3	0	0	0.0	0.0	0	0	128.2	4.8	
파르코디디오	1	0	0	100.0	5.0	100.0	5.0	100.0	5.0	92.9	4.6	
대디스오피스	4	0	0	0	0	108.4	4.2	0	0	122.0	4.7	
비스트로피자	1	100.0	5.0	0	0	100.0	5.0	100.0	5.0	90.0	4.5	
피자생각	2	115.1	5.0	0	0	102.3	4.4	0	0	102.3	4.4	
노베이비자	1	100.0	5.0	90.9	4.5	95.0	4.8	0	0	89.7	4.5	
피자는치즈빨	1	100.0	5.0	0	0	100.0	5.0	100.0	5.0	85.7	4.3	
니뽕내뽕	3	0	0	0	0	123.9	5.0	0	0	113.3	4.6	
파파존스	1	0	0	0	0	100.0	5.0	100.0	5.0	100.0	5.0	
스폰티니	1	0	0	100.0	5.0	100.0	5.0	0	0	100.0	5.0	
뉴욕엔와이	2	0	0	0	0	115.1	5.0	0	0	112.3	4.9	
잭슨나인스	1	100.0	5.0	0	0	100.0	5.0	0	0	96.7	4.8	
브롱스	1	0	0	100.0	5.0	100.0	5.0	0	0	95.7	4.8	
부페파크	1	0	0	0	0	100.0	5.0	100.0	5.0	95.6	4.8	
치피떡	1	0	0	100.0	5.0	66.7	3.3	0	0	100.0	5.0	
캡틴페퍼스	1	100.0	5.0	0	0	100.0	5.0	0	0	91.7	4.6	
로마화덕피자 with 메이프렌즈	1	0	0	100.0	5.0	100.0	5.0	0	0	90.6	4.5	
반올림피자샵	3	0	0	0	0	0	0	0	0	123.9	5.0	
스파치오칼도	1	50.0	2.5	0	0	0	0	100.0	5.0	97.5	4.9	
피자1989	1	0	0	0	0	100.0	5.0	0	0	100.0	5.0	
매드포갈릭	1	0	0	0	0	100.0	5.0	0	0	100.0	5.0	
원플레이트	1	0	0	0	0	100.0	5.0	0	0	100.0	5.0	
소노캄 고양	1	0	0	0	0	100.0	5.0	0	0	100.0	5.0	
피자의정석	1	0	0	0	0	100.0	5.0	0	0	100.0	5.0	
치킨과바람피자	1	0	0	0	0	100.0	5.0	0	0	100.0	5.0	
치즈 온더 쿡	1	0	0	0	0	100.0	5.0	0	0	100.0	5.0	
빈	1	0	0	0	0	100.0	5.0	0	0	100.0	5.0	
제주한라불갈비소시지	1	100.0	5.0	0	0	0	0	0	0	100.0	5.0	
오말리	1	0	0	0	0	100.0	5.0	0	0	97.1	4.9	
Popolo	1	0	0	0	0	100.0	5.0	0	0	97.1	4.9	
프롬	1	0	0	0	0	100.0	5.0	0	0	96.9	4.8	
골든이글스	1	0	0	0	0	75.0	3.8	0	0	100.0	5.0	
비어파스타	1	0	0	0	0	0.0	0.0	100.0	5.0	94.1	4.7	
홍파스타	1	0	0	0	0	100.0	5.0	0	0	93.3	4.7	
진 요양원	1	0	0	0	0	100.0	5.0	0	0	92.3	4.6	
피자헛	1	0	0	0	0	100.0	5.0	0	0	91.7	4.6	
피자오늘	1	0	0	0	0	100.0	5.0	0	0	90.3	4.5	
피자마루	1	0	0	0	0	100.0	5.0	0	0	87.5	4.4	
뚜띠쿠치나	1	0	0	0	0	0	0	0	0	100.0	5.0	
코끼리김밥	1	0	0	0	0	0	0	0	0	100.0	5.0	
장산전망대	1	0	0	0	0	0	0	0	0	100.0	5.0	
빠르끄	1	0	0	0	0	0	0	100.0	5.0	83.3	4.2	
구구족	1	0	0	0	0	66.7	3.3	0	0	82.4	4.1	
지아코모87	1	0	0	0	0	0	0	50.0	2.5	82.1	4.1	
